| 번호 | 에러 메시지 (요약)                                            | 원인                                                            | 해결 방법 (Before → After)                                                                                                                                               |
|------|--------------------------------------------------------------|-----------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1    | `failed to build psycopg2`                                   | `psycopg2`는 C 빌드 도구 필요 → slim 이미지에서 빌드 실패        | ❌ `psycopg2==2.9.10`<br>✅ `psycopg[binary]>=3.1`                                                                                                                          |
| 2    | `no space left on device`                                    | EC2 루트 볼륨(8GB) 가득 참                                       | 단기: `docker system prune -af --volumes`<br>근본: EBS 확장 후 `growpart`, `resize2fs` 적용                                                                               |
| 3    | `upstream directive is not allowed here`                     | Nginx에서 `upstream`을 `http {}` 밖에 선언                       | ❌ `/etc/nginx/nginx.conf`에 직접 작성<br>✅ `conf.d/app.conf`에 작성                                                                                                      |
| 4    | `(staticfiles.W004)`                                         | `STATICFILES_DIRS`에 등록한 폴더 없음                           | ❌ `STATICFILES_DIRS = [BASE_DIR / "static"]`<br>✅ `STATICFILES_DIRS = [_static] if _static.exists() else []`                                                             |
| 5    | `ModuleNotFoundError: No module named 'YOUR_DJANGO_PROJECT'` | Gunicorn 실행 경로 placeholder 그대로 사용                       | ❌ `gunicorn YOUR_DJANGO_PROJECT.wsgi:application`<br>✅ `gunicorn config.wsgi:application`                                                                                |
| 6    | `TS6133: is declared but never used`                         | TypeScript의 엄격 옵션 (noUnusedLocals 등)                      | ❌ `"noUnusedLocals": true`<br>✅ `"noUnusedLocals": false`                                                                                                                |
| 7    | `COPY --from=build /app/build ... not found`                 | Vite는 빌드 결과물이 `/dist`                                    | ❌ `COPY --from=build /app/build`<br>✅ `COPY --from=build /app/dist`                                                                                                      |
| 8    | `No changes detected in app 'items'`                         | 모델 변경 없음                                                   | `makemigrations` 대신 `migrate` 실행                                                                                                                                    |
| 9    | `bash: docker: command not found`                            | 컨테이너 내부에서 docker 명령 실행 또는 미설치                  | 컨테이너 종료 후 호스트에서 실행<br>필요 시 `apt install docker.io`                                                                                                      |
| 10   | `'list' object has no attribute 'lower'`                     | 문자열 기대하는 설정에 리스트 전달                              | ❌ `.get("ALLOWED_HOSTS")`<br>✅ `.get("ALLOWED_HOSTS", "").split(",")`                                                                                                     |
| 11   | `Cannot find module '@rollup/rollup-linux-x64-gnu'`          | npm optional dependency 관련 버그                                | `node_modules` 및 `package-lock.json` 삭제 후 `npm install`                                                                                                               |
| 12   | `sh: 1: vite: not found`                                     | `vite`가 설치되지 않음                                           | Dockerfile 내 `npm install` 누락 또는 `WORKDIR` 경로 오류 확인                                                                                                           |
| 13   | `failed to load config from /app/vite.config.ts`             | 경로 문제 또는 Vite 실행 위치가 잘못됨                           | `vite.config.ts` 위치 확인 및 `WORKDIR`, `volume` 경로 재확인                                                                                                              |
| 14   | `Uncaught TypeError: AppRoutes.map is not a function`        | AppRoutes가 함수형 컴포넌트인데 배열로 사용하려 함               | `useAppRoutes` 훅으로 분리하여 배열 반환 방식 사용                                                                                                                        |
| 15   | `Cannot read properties of null (reading 'useContext')`      | Context Provider 없이 훅을 호출함                                | `App.tsx` 혹은 `main.tsx`에서 Context Provider (`<CategoryProvider>`)로 감싸기                                                                                             |
| 16   | `WebSocket connection to 'ws://localhost:3000/' failed`      | Vite Dev Server 미작동 또는 포트 충돌                           | `npm run dev` 상태 확인 및 Docker, 로컬 중복 실행 여부 점검                                                                                                               |
| 17   | `console.log`가 `index.html`에서 출력되지 않음               | `<script>`가 DOM 로딩 전에 실행됨                                | `defer` 속성 추가 또는 `<body>` 하단에 script 위치                                                                                                                        |
| 18   | `Cannot read properties of null (reading 'useContext')` - CategoryContext | `useCategoryContext()`가 Provider 밖에서 사용됨            | `CategoryProvider`로 전체 앱을 감싸고 `useCategoryContext`는 내부에서만 호출                                                                                            |
